gardiner_num,hieroglyph,description,details,is_priority
M28,𓇙,Combination of M26 + V20,Ideo. in title wr mḏw šmʿw “Greatest of the tens of Upper Egypt.”,
M29,𓇛,Pod,Phono. nḏm. In nḏm “sweet.,
M30,𓇜,Root,Det. or Ideo. bnr “sweet.”,
M31,𓇝,Rhizome,Det. in rd “grow.”,
M32,𓇟,Var of M31,Use as M31,
M33,𓇠,Grain,"Ideo. in it “barley, corn.”",
M34,𓇣,Emmer sheaf,Det. or Ideo. in bti “emmer.”,
M35,𓇤,Grain heap,Det. in ʿḥʿw “heaps.”,
M36,𓇥,Flax bundle,"Phono. ḏr. In ḏr “since,” nḏri “hold fast.”",
M37,𓇦,Flax bundle with stems,Phono. ḏr.,
M38,𓇧,Flax bundle,"Det. in mḥʿ “flax,” dm3 “bind together.”",
M39,𓇨,Basket of fruit or grain,Det. in rnpt “vegetables.”,
M40,𓇩,Reed bundle,"Phono is. In is “tomb,” iswt “crew.”",
M41,𓇫,Wood log,Det. in ʿš “cedar.”,
M42,𓇬,Flower,"Phono. wn. In wnm “eat,” ḥwn “be young.”",
M43,𓇭,Grape vines on props,Det. or Ideo. in irp “wine.”,
M44,𓇮,Thorn,Det. spd “sharp.”,
N1,𓇯,Sky,"Det. or Ideo. pt “sky,” ḥrt “heaven,” ḥry “above.”",
N2,𓇰,Sky with broken S40,Det. or Ideo. grḥ “night.”,
N3,𓇱,Var. of N2,Use as N2.,
N4,𓇲,Sky with rain,"Det. or Ideo. šnyt “rain,” i3dt “dew.”",
N5,𓇳,Sun,"Ideo. rʿ “sun, Re” hrw “day,” sw “day.”",
N6,𓇴,Sun with uraeus,"Det. or ideo in rʿ “sun, Re.”",
N7,𓇵,Combination of N5 + T28,Det. ẖrt-hrw “daytime.”,
N8,𓇶,Sun with rays,"Phono. wbn. Det. or Ideo. 3ḫw “sunshine,” psḏ “shine,” wbn “rise.”",
N9,𓇷,Moon,Phono. psḏ. In psḏt “Ennead.”,
N10,𓇸,Var of N9,Use as N9.,
N11,𓇹,Crescent moon,Ideo. 3bd “month.” Det. iʿḥ “moon.”,
N12,𓇺,Var. of N11,Det. iʿḥ “moon.”,
N13,𓇻,Combination of half of N11 and N14,Ideo. mḏdiwnt “half month festival.”,
N14,𓇼,Star,"Phono. sb3, dw3. In sb3 “star,” dw3 “morning.” Ideo. wnwt “hour.”",
N15,𓇽,Star encircled,Ideo. in dw3t “netherworld.”,
N16,𓇾,Flat land with grain,"Phono. t3. In t3 “land, earth.”Det. in ḏt “eternity.”",
N17,𓇿,Var. of N16,Use as N16.,
N18,𓈀,Strip of sand,Ideo. in iw “island.”,
N19,𓈃,Two strips of sand,"Ideo. in 3ḫt “horizon,” ḥrw-3ḫty “Horakhty.”",
N20,𓈄,Tongue of land,Phono. wḏb. In wḏb “shore.” Det. in ḥ3b-sd “Sed Festival.”,
N21,𓈅,Tongue of land,"Ideo. in idb “bank,” idbwy “two banks.”",
N22,𓈆,Tongue of land,"Det. in ʿḥt “field,” sḫt “field.”",
N23,𓈇,Canal,"Det. in t3 “land,” i3š “boundary.”",
N24,𓈈,Irrigation canal system,Det. or Ideo. in sp3t “nome.”,
N25,𓈉,Mountain rande,"Ideo. in ḫ3st “foreign land, hill country.”",
N26,𓈋,Mountain,Phono. ḏw “mountain.”,
N27,𓈌,Sunrise over mountain,Ideo. in 3ḫt “horizon.”,
N28,𓈍,Hill with sun rays,Phono. ḫʿ. In ḫʿ “appear.”,
N29,𓈎,Sandy slope,Phono. q.,TRUE
N30,𓈏,Hill with shrubs,Det. or Ideo. in i3t “mound.”,
N31,𓈐,Road bordered by shrubs,Det. and Ideo. in w3t “road.”,
N32,𓈑,"Lump of clay, Var. Aa2 and F52.",Det. in sin “clay.”,
N33,𓈒,Grain of sand,Det. in nbw “gold.”,
N34,𓈔,Metal Ingot,"Ideo. in bi3, ḥmt “copper.”",
N35,𓈖,Water ripple,Phono. n.,TRUE
N35a,𓈗,Three ripples,Phono. mw. In mw “water.”,
N36,𓈘,Canal,Phono. mr. In mr “canal.”,
N37,𓈙,Pool,Phono. š. In š “pool.”,TRUE
N38,𓈛,Var. of N37,Use as N37.,
N39,𓈜,Var. of N37,Use as N37.,
N40,𓈝,Combination of N37 and D54,Phono. šm. In šm “to go.”,
N41,𓈞,Well with water,Phono. ḥm. In ḥmt “wife.” Det. in bi3 “copper.”,
N42,𓈟,Var. of N41,Use as N41.,
O1,𓉐,House plan,"Phono. pr. In pr “house,” pri “go.”",
O2,𓉒,Combination of O1 + T3,Ideo. in pr-ḥḏ “treasury.”,
O3,𓉓,Combination of O1 + P8 + X3 + W22,Ideo. in prt-ḫrw “invocation offering.”,
O4,𓉔,Reed shelter,Phono. h.,TRUE
O5,𓉕,Winding wall,Phono. nm. In nmi “traverse.”,
O6,𓉗,Plan of rectangular enclosure,"Ideo. in ḥwt “temple, tomb, enclosure.”",
O7,𓉞,Var of O6,Use as O6.,
O8,𓉟,Combination of O7 + O29,"Ideo. in ḥwt-ʿ3 “Great temple, enclosure.”",
O9,𓉠,Combination of O7 + O30,Ideo. in nbt-ḥyt “Nephthys.”,
O10,𓉡,Combination of O6 + G5,Ideo. in ḥwt-ḥrw “Hathor.”,
O12,𓉥,Palace with battlements,Ideo. in ʿḥ “palace.”,
O13,𓉦,Enclosure with battlements,"Det. in sbḫ “enclose,” sbḫt “gateway.”",
O14,𓉧,Var. of O13,Use as O13,
O15,𓉨,Walled enclosure with buttresses + W10 + X1,Ideo. in wsḫt “hall.”,
O16,𓉩,Gateway with serpents,"Det. or Ideo. in t3yt “curtain,” t3yty “he of the curtain” (vizier title).",
O17,𓉪,Var. of O16,Use as O16,
O18,𓉫,Shrine in profile,"Det. or Ideo. in k3r “shrine, chapel.”",
O19,𓉬,Shrine in profile with poles,Det. in pr-wr “Great House.”,
O20,𓉭,Shrine,"Det. in itrt “row of sanctuaries,” ḫm “shrine.”",
O21,𓉯,Shrine Facade,Det. or Ideo. in sḥ-nṯr “divine shrine.”,
O22,𓉱,Booth supported by pole,"Det. or Ideo. in sḥ “counsel,” “booth.”",
O23,𓉲,Double platform,Ideo. in ḥ3b-sd “Sed Festival.”,
O24,𓉳,Pyramid surrounded by wall,Det. in mr “pyramid.”,
O25,𓉴,Obelisk,Det. or Ideo. in tḫn “obelisk.”,
O26,𓉶,Stela,Det. or Ideo. in wḏ “stela.”,
O27,𓉸,Hall with columns,"Det. in ḫ3 “office,” ḫ3wy “night.”",
O28,𓉹,Column with tenon,"Phono iwn. In iwnw “Heliopolis,” iwn “column.”",
O29,𓉺,Wood column,Phono. ʿ3. In ʿ3 “great.”,
O29V,𓉼,Vertical wood column,Use as O29,
O30,𓉽,Supporting pole,Ideo. in sḫnt “support.”,
O31,𓉿,Door,"Det. in ʿ3 “door,” sn, wn “open.”",
O32,𓊀,Gateway,"Det. in sb3 “door,” sbḫt “gateway.”",
O33,𓊁,Palace or tomb facade,Det. in srḫ “banner.”,
O34,𓊃,Door bolt,Phono. s. In s “bolt.”,TRUE
O35,𓊄,Combination of O34 + D54,"Phono. s. In sbi “go,” “perish,” ms “bring.”",
O36,𓊅,Wall,Ideo. in inb “wall.”,
O37,𓊊,Falling wall,"Det. in whn “overthrow,” gs3 “tilt.”",
O38,𓊋,Corner of wall,"Ideo. in qnbt “court, corner, magistrates.”",
O39,𓊌,Stone slab,"Det. in inr “stone,” dbni “deben (weight),” ḏbt “brick.”",
O40,𓊍,Stairway,"Det. in rwd “stairwaway,” ḫtyw “terrace.”",
O41,𓊎,Double stairway,"Det. in q3y “high place,” iʿr “ascend.”",
O42,𓊏,Fence,Phono. šsp. In šsp “receive.”,
O43,𓊐,Var. of O42,Use as O42,
O44,𓊑,Min emblem,"Ideo. in i3t “rank, office.”",
O45,𓊒,Domed building,Det. or Ideo. in ipt “harim.”,
O46,𓊓,Var. of O45,Use as O45.,
O47,𓊔,Enclosed mound,Ideo. in nḫn “Hierakonpolis.”,
O48,𓊕,Var. of O47,Use as O47,
O49,𓊖,Area with crossroads,Ideo. in niwt “town.”,
O50,𓊗,Threshing floor with grain,"Phono. sp. In sp “occasion, time, event,” sp sn “two times.”",
O51,𓊚,Grain mound on mud floor,Det. or Ideo. in šnwt “granary.”,
P1,𓊛,Boat on water,"Det. of boats. In dpt “ship,” ḥʿw “ships,” ḫdi “sail downstream.”",
P1a,𓊜,Boat upside down,Det. in pnʿ “capsize.”,
P2,𓊝,Ship sailing,Det. in ḫnti “sail upstream.”,
P3,𓊞,Sacred bark,"Det. wi3 “sacred bark,” ḏ3i “cross”",
P4,𓊠,Boat with net,Phono. wḥʿ. In wḥʿ “fisherman.”,
P5,𓊡,Sail,"Det. or Ideo. in ṯ3w “wind, breath.” Det. mḥyt “north wind.”",
P6,𓊢,Mast,Phono. ʿḥʿ. In ʿḥʿ “stand.”,
P7,𓊣,Combination of P6 +D36,Use as P6.,
P8,𓊤,Oar,"Phono ḫrw. In m3ʿ ḫrw “justified” ḫrw “voice,” ḫrwy “enemy.”",
P9,𓊥,Combination of P8 + I9,"Ideo for ḫr.fy “says, said.”",
P10,𓊦,Steering oar,"Det. in ḥmw “steering oar,” ḥmy “steerer”",
P11,𓊧,Mooring post,Det. in mnit “mooring post.”,
Q1,𓊨,Seat,"Phono. st, ws. In st “seat, place,” wsir “Osiris,” ḥtm “perish.”",
Q2,𓊩,Portable seat,Phono. ws. In wsir “Osiris.”,
Q3,𓊪,Stool,Phono. p.,TRUE
Q4,𓊫,Headrest,Det. in wrs “headrest.”,
Q5,𓊬,Chest,"Det. in hn “box,” ʿfdt “chest.”",
Q6,𓊭,Coffin,"Det. or Ideo. in qrs “bury,” qrsw “coffin.”",
Q7,𓊮,Brazier with flame,"Det. of fire. In ḫt “fire,” sḏt “flame,” srf “temperature.”",
R1,𓊯,Table with jug and loaves,"Det. or Ideo. in ḫ3t, ḫ3wt “offering table.”",
R2,𓊰,Table with bread slices,Use as R1.,
R3,𓊲,Low table with Jug and loaves,Det. or Ideo. in wḥḏw “offering table.”,
R4,𓊵,Bread loaf on mat,"Phono. ḥtp. In ḥtp “altar, rest, be pleased.”",
R5,𓊶,Censer,Det. or Ideo. in k3p “fumigate.”,
R6,𓊷,Var. of R5,Use as R5,
R7,𓊸,Incense bowl,Det. or Ideo. in sntr “incense.”,
R8,𓊹,Flag,Phono. nṯr. In nṯr “god.”,
R9,𓊺,Combination of R8 + V33,Det. or Ideo. in bd “incense.”,
R10,𓊻,Combination of R8 + T28 + N29,Ideo. in ẖrt-nṯr “necropolis.”,
R11,𓊽,Reed column,"Phono. ḏd. In ḏd “stable,” ḏdw “Busiris.”",
R12,𓊾,Standard,Det. in i3t “standard.”,
R13,𓊿,Combination of G5 + R14,"Ideo. in imnt “West,” wnmi “right.”",
R14,𓋀,Var of R13,"Ideo. in imnt “West,” wnmi “right.”",
R15,𓋁,Spear as standard,"Ideo. in i3bt “East,” i3by “left.”",
R16,𓋂,Scepter with feathers,Det. or Ideo in wḫ “Qus emblem.”,
R17,𓋄,Feathered wig with pole,"Det. or Ideo. in t3-wr “This,” “nome of Abydos.”",
R18,𓋅,Var. of R17,Use as R17,
R19,𓋆,Combination of S40 + feather,Det. in w3st “Thebes.”,
R20,𓋇,Seshat emblem,Ideo. in sšt “Seshat.”,
R21,𓋈,Var. of R20,Use as R20.,
R22,𓋉,Min emblem,"Phono. ḫm. In ḫm “shrine.” With standard, Ideo. in mnw “Min.”",
R23,𓋊,Var. of R22,Use as R22,
R24,𓋋,Neith emblem,Det. in nit “Neith.”,
R25,𓋌,Var. of R24,Use as R24.,
S1,𓋑,White crown of Upper Egypt,Det. or Ideo. in ḥḏt “white crown.”,
S2,𓋒,Combination of S1 + V30,Det. or Ideo. in ḥḏt “white crown.”,
S3,𓋔,Red crown of Lower Egypt,Phono. n. Det. or Ideo in dšrt “Red Crown.”,
S4,𓋕,Combination of S3 + V30,Use as S3.,
S5,𓋖,Combination of red and white crown,Det. or Ideo. in sḫmty “double crown.”,
S6,𓋗,Combination of S5 + V30,Use as S5.,
S7,𓋙,Blue Crown,Det. or Ideo. in ḫprš “blue crown.”,
S8,𓋚,Atef crown,Det. or Ideo. in 3tf “atef crown.”,
S9,𓋛,Double plumes,Det. or Ideo. in šwty “double plumes.”,
S10,𓋜,Headband,Phono mḏḥ. In mḏḥ “fillet.”,
S11,𓋝,Collar,"Phono. wsḫ. In wsḫ “collar,” swsḫ “widen.”",
S12,𓋞,Collar of beads,"Det. or Ideo. in nbw “gold,” ḥḏ “silver.”",
S13,𓋟,Combination of S12 + D58,Phono. nb.,
S14,𓋠,Combination of S12 + T3,Ideo. in ḥḏ “silver.”,
S14a,𓋡,Combination of S12 + S40,Ideo. in ḏʿm “electrum.”,
S15,𓋣,Faience pectoral,"Det. or Ideo. in ṯḥn “sparkle,” ṯḥnt “faience.”",
S16,𓋤,Var. of S15,Use as S15.,
S17,𓋥,Var of S15,Use as S15,
S18,𓋧,Bead necklace,Det. or Ideo. in mnit “bead necklace.”,
S19,𓋨,Necklace and cylinder seal,"Ideo. in sḏ3wty “treasurer,” sḏ3w “precious.” Det. or Ideo. in ḫtm “seal.”",
S20,𓋩,Necklace and cylinder seal,Ideo. in ḫtm “seal.”,
S21,𓋪,Ring,"Det. in iwʿw, ʿʿw, sšw “ring.”",
S22,𓋫,Shoulder knot,Phono. sṯ. Det. or Ideo. in t3-wr “port.”,
S23,𓋬,Knotted cloth,Phono dmḏ. In dmḏ “unite.”,
S24,𓋭,Knotted belt,"Phono. ṯs. In ṯs “tie, bind.”",
S25,𓋮,Garment with ties,Ideo. in iʿ3w “guide.”,
S26,𓋯,Apron,Det. or Ideo. in šndyt “apron.”,
S27,𓋲,Horizontal strips of cloth,Det. or Ideo. in mnḫt “clothing.”,
S28,𓋳,Cloth with fringe + S29,"Det. in ḥbs “clothing,” ḥ3p “conceal,” kfi “uncover.”",
S29,𓋴,Folded cloth,"Phono. s. In ʿnḫ.(w) (w)ḏ3 snb “may he live, be prosperous, be healthy.” (L.P.H.)",TRUE
S30,𓋵,Combination of S29 + I9,Phono. sf. In sf “yesterday.”,
S31,𓋶,Combination of S29 + U1,Phono. sm3. In sm3 “fighting bull.”,
S32,𓋷,Cloth iwht fringe,Phono. si3. In si3t “fringed cloth.”,
S33,𓋸,Sandal,"Ideo. in ṯbt “sandal,” ṯbw “sandal maker.”",
S34,𓋹,Sandal strap,"Phono. ʿnḫ. In ʿnḫ “live,” ʿnḫ “sandal strap.”",
S35,𓋺,Sunshade,"Ideo. in šwt “shadow, shade.”",
S36,𓋼,Var. of S35,Use as S35,
S37,𓋽,Fan,Det. or Ideo. in ḫw “fan.”,
S38,𓋾,Crook,"Phono. ḥq3. In ḥq3 “rule,” ḥq3t “scepter.”",
S39,𓋿,Crook,Phono ʿwt. In ʿwt “flock.”,
S40,𓌀,Scepter with Seth animal,"Phono. w3s. In w3s “w3s-scepter.” Ideo. in i3tt “milk, cream.”",
S41,𓌁,Scepter with spiral shaft and Seth animal,Phono. ḏʿm. In ḏʿm “fine gold.”,
S42,𓌂,Scepter,"Phono. sḫm. In sḫm “have power,” sḫm “scepter.” Det. or Ideo. in ḫrp “manage, at head.”",
S43,𓌃,Staff,Phono. md. In mdw “speak.”,
S44,𓌄,Staff with flail,Det. or Ideo. in 3ms “staff.”,
S45,𓌅,Flail,Det. or Ideo. in nḫ3ḫ3w “flail.”,
T1,𓌇,Angular headed mace,Phono. mn. In mnw “mace.”,
T2,𓌈,T3 tilted,"Det. in sqr, sqri “smite.”",
T3,𓌉,Pear shaped mace,"Phono. ḥḏ. In ḥḏ “mace,” ḥḏ “white, bright,” ḥḏi “damage.”",
T4,𓌋,Var of T3,Use as T3,
T5,𓌌,Combination of T3 + I10,Phono. ḥḏ.,
T6,𓌍,Combination of T5 + extra I10,Phono. ḥḏḏ.,
T7,𓌎,Axe,"Det. in mibt, minb “axe,” mdḥ “hew.”",
T7a,𓌏,Axe,Det. of 3qḥw “axe.”,
T8,𓌐,Dagger,"Phono. tp. In tpy “first, chief, upon.”",
T8a,𓌑,Dagger,Det. in b3gsw “dagger.”,
T9,𓌒,Bow,"Phono. pd/pḏ, in pd “stretch,” pḏt “bow.”",
T9a,𓌓,Var of T9,Use as T9,
T10,𓌔,Composite bow,Use as T9,
T11,𓌕,Arrow,"Phono. swn. In swn “perish,” swnt “physician.”",
T12,𓌗,Bowstring,"Phono. rwd/rwḏ. In rwd “hard, firm.” Ideo. in d3r “subdue.”",
T13,𓌘,Wood tied together,Phono. rs. In rs “wakeful.”,
T14,𓌙,Throw stick,"Det. of “foreign.” Ideo. in ʿ3m “Asiatics,” ṯḥnw “Libya.” Det. in qm3 “create,” qm3i “create.”",
T15,𓌚,Var. of T14,Use as T14,
T16,𓌛,Scimitar,Det. in ḫpš “scimitar.”,
T17,𓌝,Chariot,Det. or Ideo. in wrrt “chariot.”,
T18,𓌞,Crook with package,"Phono. šms. In šms “follow, accompany.”",
T19,𓌟,Bone harpoon head,"Phono. qs. In qs “annoy,” qrs “bury.” Det. in twr “pure.”",
T20,𓌠,Var. of T19,Use as T19,
T21,𓌡,Harpoon,Phono. in wʿ. In wʿ “one.”,
T22,𓌢,Arrowhead,"Phono. sn. In sn “brother,” sn “smell.”",
T23,𓌣,Var. of T22,Use as T22,
T24,𓌤,Fishing net,Phono. ʿḥ/iḥ . In iḥ “net.”,
T25,𓌥,Reed Float,"Phono. db3/ḏb3. In ḏb3 “adorn,” db3 “replace.”",
T26,𓌦,Bird Trap,"Det. or Ideo. in sḫt “trap, snare.”",
T27,𓌧,Var. of T26,Use as T26,
T28,𓌨,Butcher’s block,"Phono. ẖr. In ẖr “under,” ẖrt “portion.”",
T29,𓌩,Combination of T28 + T30,Ideo. in nmt “place of slaughter.”,
T30,𓌪,Knife,Ideo. for dmt “knife.” Det. in dm “be sharp.”,
T31,𓌫,Knife sharpener,"Phono sšm. In sšm “guide, lead.”",
T32,𓌬,Combination of T31 + D54,"Phono sšm. In sšm “guide, lead.”",
T33,𓌮,Butcher’s knife sharpener,Ideo. in sšm “butcher.”,
T34,𓌰,Butcher’s knife,"Phono. nm. In nm “knife,” ḫnms “friend.”",
T35,𓌱,Var. of T34,Use as T34,
U1,𓌳,Sickle,"Phono. m3. In m33 “see,” 3sḫ “reap.”",
U2,𓌴,Var. of U1,Use as U1.,
U3,𓌵,Combination of U1 + D4,Phono. m3. In m33 “see.”,
U4,𓌶,Combination of U1 + Aa11,Phono. m3ʿ. In m3ʿ “true.”,
U5,𓌷,Var. of U4,Use as U4.,
U6,𓌸,Hoe,Phono. mr. In mri “love.”,
U7,𓌻,Var. of U6,Use as U6.,
U8,𓌼,Hoe,Phono. ḥn. In ḥn “hoe.”,
U9,𓌽,Grain measure with grain streaming outwards,"Det. in bdt “emmer,” ḫ3i “measure,” ḥq3t “hekat measure.”",
U10,𓌾,Combination of U9 + M33,Ideo. in it “barley.”,
U11,𓌿,Combination of S38 + U9,Ideo. in ḥq3t “hekat measure.”,
U12,𓍀,Combination of D50 + U9,Ideo. in ḥq3t “hekat measure.”,
U13,𓍁,Plow,Phono. šnʿ. In šnʿ “repel.” Phono hb. In hb “plow.”,
U14,𓍂,Two branches joined,Phono. šnʿ. In šnʿ “repel.”,
U15,𓍃,Sled,"Phono. tm. In tm “be complete,” ḥtm “perish.”",
U16,𓍄,Sled with jackal head bearing a load,Det. in bi3 “wonder.”,
U17,𓍅,Pick with pool,"Phono. grg. In grg “establish, snare,” grg “falshood, lie.”",
U18,𓍆,Var. U17,Use as U17.,
U19,𓍇,Adze,Phono. nw. In nw “this.”,
U20,𓍈,Var. of U19,Use as U19,
U21,𓍉,Adze with wood block,Phono. stp/sṯp. In stp “choose.”,
U22,𓍊,Chisel,"Det. in mnḫ “efficient,” mnḫ “carve.”",
U23,𓍋,Chisel,"Phono. mr. In mr “ill,” smr “friend.” Phono. 3b. In 3bi “desire.”",
U24,𓍍,Drill for stone,"Ideo. in ḥmt “craft, art.”",
U25,𓍎,Var. of U24,Use as U24.,
U26,𓍏,Drill for beads,Ideo. in wb3 “open.”,
U27,𓍐,Var. of U26,Use as U26.,
U28,𓍑,Fire drill,"Phono. ḏ3. In ʿnḫ.(w) (w)ḏ3 snb “may he live, be prosperous, be healthy.” (L.P.H.)",
U29,𓍒,Var. of U28,Use as U28.,
U30,𓍔,Kiln,"Phono. t3. In št3 “hot,” t3 “mysterious.",
U31,𓍕,Baker’s rake,"Det. or Ideo. in rtḥty “baker,” rtḥ “restrain.”",
U32,𓍖,Mortar and pestle,"Det. in smn “press down,” smn “establish.”",
U33,𓍘,Pestle,Phono. ti.,
U34,𓍙,Spindle,Phono. ḫsf. In ḫsf “repel.”,
U35,𓍚,Combination of U34 + I9,Phono. ḫsf.,
U36,𓍛,Club used in washing,"Phono. ḥm. In ḥm “slave,” ḥm “Majesty.”",
U37,𓍜,Razor,Det. in ẖʿq “shave.”,
U38,𓍝,Scale,Det. or Ideo. in mḫ3t “scale.”,
U39,𓍞,Scale post,"Det. in wsṯt “post,” wṯs, ṯsi “raise, lift.”",
U40,𓍟,Var. of U39,Use as U39,
U41,𓍠,Plumb bob,Det. in tḫ “plumb bob.”,
V1,𓍢,Rope coil,"Phono. šn. In šnt “dispute,” šni “litigate,” št “hundred.”",
V2,𓍬,Combination of V1 + O34,Det. in st3 “drag.” Ideo. in sṯ3t “aurora.”,
V3,𓍮,"Same as V2, but with two additional coils",Ideo. in r-sṯ3w “necropolis.”,
V4,𓍯,Lasso,Phono. w3. In w3ḥ “endure.”,
V5,𓍰,Looped rope,Det. or Ideo. in snṯ “plot.”,
V6,𓍱,Cord with loop facing downwards,"Phono. šs, šsr.",
V7,𓍲,Cord with loop facing upwards,Phono. šn.,
V8,𓍴,Var. of V7,Use as V7,
V9,𓍶,Round cartouche,Det. in šnw “cartouche.”,
V10,𓍷,Oval cartouche,"Det. in šnw “cartouche,” rn “name.",
V11,𓍸,End of cartouche,"Det. in dni “restrain, dam,” pḫ3 “split.",
V12,𓍼,String,"Det. in sšd “headband,” fḫ “loosen,” fḫnw “Phoenicians.",
V13,𓍿,Tethering rope,Phono. ṯ.,TRUE
V14,𓎀,Var. of V13,Use as last.,
V15,𓎁,Combination of V13 and D54,Phono. iṯ. In iṯi “seize.”,
V16,𓎂,Hobble for cattle,Phono. s3. In s3 “protection.”,
V17,𓎃,Herdsman’s shelter,Ideo. in s3 “protection.”,
V18,𓎄,Var. of V17,Use as V17,
V19,𓎅,Hobble for cattle,"Det. in mḏt “stable,” k3r “shrine,” tm3 “mat.”",
V20,𓎆,Hobble for cattle sans crossbar,"Phono. mḏ. In mḏwt “stables,” mḏ “10.”",
V21,𓎓,Combination of V20 + I10,Phono. mḏ.,
V22,𓎔,Whip,Phono. mḥ. In mḥ “fill.”,
V23,𓎕,Var. of V22,Use as V22.,
V24,𓎗,Cord on Stick,"Phono. wḏ. In wḏ “command, decree.”",
V25,𓎘,Var. of V24,Use as V24,
V26,𓎙,Spool with thread,Phono. ʿd/ʿḏ. In ʿd “good condition.”,
V27,𓎚,Var. of V26,Use as V26.,
V28,𓎛,Wick,Phono. ḥ.,TRUE
V29,𓎝,Swab,"Phono. w3ḥ, sk.",
V30,𓎟,Basket,"Phono. nb. In nb “lord,” nb “every, all.”",
V31,𓎡,Basket with handle,Phono k.,TRUE
V31a,𓎢,V31 reversed,Use as V31.,
V32,𓎣,Wicker satchel,"Phono. msn. In msn “Mesen.” Det. in g3wt “bundles,” g3w “absence, lack.”",
V33,𓎤,Linen bag,Det. in šsr “linen.”,
V34,𓎥,Var. of V33,Use as V33.,
V35,𓎧,Var. of V33,Use as V33.,
V36,𓎨,Receptacle,Phono. ḥn. In ḥnt “occupation.”,
V37,𓎩,Bandage,"Det. or Ideo. in idr “bandage, bind,” idr “herd.”",
V38,𓎫,Bandage,Det. in wt “bandage.”,
V39,𓎬,Tie,Ideo. in tit “Isis knot.”,
W1,𓎯,Oil jar,"Det. in mḏt “ointment,” mrḥt “oil.”",
W2,𓎰,Oil jar without ties,"Phono. b3s. In b3stt “Bastet,” b3s “oil jar.”",
W3,𓎱,Alabaster basin,"Det. or Ideo. in ḥb “feast,” ḥb “mourn.”",
W4,𓎳,Combination of W3 + O22,"Det. or Ideo. in ḥb “feast,” tp-rnpt “feat of the first of the year.”",
W5,𓎴,Combination of W3 + T28,Ideo in ẖry-ḥbt “lector priest.”,
W6,𓎵,Vessel,Det. in wḥt “cauldron.”,
W7,𓎶,Granite bowl,"Det. in 3bt “family,” m3ṯ “proclaim.”",
W8,𓎷,Var. of W7,Use as W7.,
W9,𓎸,Stone jug,Phono. ẖnm.,
W10,𓎺,Cup,Phono. ḥnw. In ḥnwt “mistress.” Det. or Ideo. in wsḫ “wide.”,
W10a,𓎻,Pot,Phono. b3.,
W11,𓎼,Ring stand,Phono. g. Det. or Ideo. in nst “throne.”,
W12,𓎽,Ring stand,Use as W11.,
W13,𓎾,Pot,Det. or Ideo. in dšrt “red pot.”,
W14,𓎿,Tall jar,Phono. ḥs. In ḥst “water jar.”,
W15,𓏁,Tall jar with water,"Det. or Ideo. in qbb, qbḥ “cool, water.”",
W16,𓏂,Combination of W15 + W12,Use as W15.,
W17,𓏃,Tall jars in rack.,Phono. ḫnt. In ḫntw “jar rack.”,
W18,𓏅,Var. W17,Use as W17,
W19,𓏇,Milk jug,Phono. mi. In mi “likeness.”,
W20,𓏈,Milk jug with leaf,Det. in irtt “milk.”,
W21,𓏉,Wine jars,Det. in irp “wine.”,
W22,𓏊,Beer jugs,Ideo. in ḥnqt “beer.” Det. in qrḥt “vessel.”,
W23,𓏋,Jug with handles,Use as W22.,
W24,𓏌,Bowl,"Phono. nw, in, ink.",
W25,𓏎,Combination of W24 + legs,"Phono. in. In ini “fetch, bring.”",
X1,𓏏,Small bread loaf,Phono. t. Ideo. in t “bread.”,TRUE
X2,𓏐,Tall bread loaf,Det. of bread. In t “bread.” Ideo. in dḥwty “Thoth.”,
X3,𓏑,Var. of X2,Use as X2,
X4,𓏒,Bread roll,"Det. in sni “pass by,” fq3 “cake.”",
X5,𓏕,Var. of X4,Det. in ʿqw “provisions.”,
X6,𓏖,Round loaf with baker’s mark,Det. in p3t “loaf.”,
X7,𓏘,Half loaf of bread,"Det. in snw “offerings.” When doubled, wnm “eat.”",
X8,𓏙,Conical Loaf,Phono. di. In rdi “give.”,
Y1,𓏛,Papyrus scroll,"Phono. mḏ3t. Ideo. in mḏ3t “paypyrus roll, book.” Det. in rḫ “know.”",TRUE
Y1v,𓏜,Papyrus scroll (vertical),Use as Y1,
Y2,𓏝,Var. of Y1,Use as Y1,
Y3,𓏞,Scribal kit,"Det. or Ideo. in sš “write,” nʿʿ “smooth.”",
Y4,𓏟,Y4 reversed,Use as Y3,
Y5,𓏠,Game board,Phono. mn. In imn “Amun” mn “remain.”,
Y6,𓏡,Game piece,"Det. or Ideo. in ib3 “game piece,” “dance.”",
Y7,𓏢,Harp,Det. in bnt “harp.”,
Y8,𓏣,Sistrum,Det. in sššt “sistrum.”,
Z1,𓏤,Stroke,Follows Ideograms. Det. wʿ “one.” Ideo. numerals 1-9.,
Z2,𓏥,Triple stroke,Det. of plurality.,
Z3,𓏪,Three Z1 vertical strokes,Same as Z2.,
Z3a,𓏫,Z2 vertical,Same as Z2.,
Z4,𓏭,Two diagonal strokes,Det. Duality,
Z4a,𓏮,Two vertical strokes,Det. Duality.,
Z5,𓏯,Diagonal stroke in hieratic,"Replacement for complex or dangerous signs, human figures.",
Z6,𓏱,Hieratic var. of A13 and A14,Det. in m(w)t “die”,
Z7,𓏲,From hieratic var. of G43.,Phono. w.,
Z8,𓏳,Oval,Det. of round.,
Z9,𓏴,Crossed sticks,Phono. sw3. In sw3 “pass.”,
